 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,1,8.798246498,0000092a,2.21,,,4.479650968
,,,2,7.139134929,'00000495',0.51,,,1.624971016
,,,3,8.254645783,0000024a,1.8,,,11.783929668
,,,4,10.560062532,'00000125’,3.81,,,18.512273536
,,,5,15.36641671,'00000092’,9.5,,,114.339300104
,,,6,11.745049537,'00000049’,6.71,,,6.678453896
,,,7,65.739690729,'00000024’,58.83,,,8.900311861
,,,8,26.280300143,'00000049’,19.48,,,3.057274869
,,,9,82.503721116,'00000024’,75.56,,,7.192110601
,,,10,122,,,,,446.767603628
