3,67,49,67,28,1000000
3,67,53,67,28,1000000
5,68,50,68,28,1000000
5,68,54,68,28,1000000
5,68,4,68,28,1000000
5,70,51,70,28,1000000
6,70,53,70,28,1000000
7,71,49,71,28,1000000
7,71,4,71,28,1000000
6,71,5,71,28,1000000
6,71,51,71,28,1000000
4,67,1,67,28,1000000
4,67,50,67,28,1000000
5,67,9,67,28,1000000
5,67,8,67,28,1000000
5,67,49,67,28,1000000
4,68,1,68,28,1000000
4,68,9,68,28,1000000
4,68,49,68,28,1000000
5,68,1,68,28,1000000
6,70,1,70,28,1000000
6,70,51,70,28,1000000
6,71,52,71,28,1000000
6,71,8,71,28,1000000
3,67,9,67,28,1000000
4,67,3,67,28,1000000
4,67,52,67,28,1000000
4,67,6,67,28,1000000
4,68,3,68,28,1000000
5,68,49,68,28,1000000
6,70,9,70,28,1000000
6,70,2,70,28,1000000
6,70,6,70,28,1000000
6,70,8,70,28,1000000
7,71,9,71,28,1000000
6,71,53,71,28,1000000
3,67,50,67,28,1000000
3,67,54,67,28,1000000
4,67,8,67,28,1000000
4,68,50,68,28,1000000
4,68,5,68,28,1000000
4,68,52,68,28,1000000
5,68,52,68,28,1000000
6,70,50,70,28,1000000
6,70,52,70,28,1000000
6,70,49,70,28,1000000
7,71,50,71,28,1000000
6,71,2,71,28,1000000
3,67,7,67,28,1000000
3,67,5,67,28,1000000
3,67,8,67,28,1000000
4,67,9,67,28,1000000
4,68,7,68,28,1000000
5,68,53,68,28,1000000
5,68,51,68,28,1000000
6,70,7,70,28,1000000
6,70,5,70,28,1000000
7,71,7,71,28,1000000
7,71,54,71,28,1000000
3,67,52,67,28,1000000
3,67,6,67,28,1000000
4,67,49,67,28,1000000
4,68,2,68,28,1000000
4,68,4,68,28,1000000
5,68,3,68,28,1000000
6,70,3,70,28,1000000
7,71,52,71,28,1000000
4,67,4,67,28,100000000
4,68,8,68,28,100000000
5,70,1,70,28,100000000
3,67,1,67,28,100000000
4,67,2,67,28,100000000
6,68,49,68,28,100000000
6,68,53,68,28,100000000
6,68,50,68,28,100000000
7,71,1,71,28,100000000
3,67,3,67,28,100000000
4,67,51,67,28,100000000
4,68,54,68,28,100000000
5,70,4,70,28,100000000
5,70,50,70,28,100000000
7,71,53,71,28,100000000
4,67,54,67,28,100000000
5,70,3,70,28,100000000
5,70,6,70,28,100000000
5,70,49,70,28,100000000
5,70,7,70,28,100000000
6,71,4,71,28,100000000
4,68,6,68,28,100000000
4,68,53,68,28,100000000
5,70,5,70,28,100000000
5,70,8,70,28,100000000
6,71,7,71,28,100000000
4,68,51,68,28,100000000
5,68,8,68,28,100000000
5,70,53,70,28,100000000
6,71,1,71,28,100000000
6,71,54,71,28,100000000
6,71,3,71,28,100000000
3,68,1,68,28,2147483646
5,70,9,70,28,2147483646
5,70,2,70,28,2147483646
3,67,49,67,124,1000000
3,67,51,67,124,1000000
4,68,51,68,124,1000000
5,68,1,68,124,1000000
5,68,3,68,124,1000000
7,70,1,70,124,1000000
7,70,49,70,124,1000000
6,71,9,71,124,1000000
3,67,1,67,124,1000000
3,67,54,67,124,1000000
3,67,2,67,124,1000000
4,67,5,67,124,1000000
4,67,50,67,124,1000000
4,68,53,68,124,1000000
6,70,1,70,124,1000000
6,70,52,70,124,1000000
6,70,3,70,124,1000000
4,67,49,67,124,1000000
4,67,2,67,124,1000000
4,67,3,67,124,1000000
4,68,9,68,124,1000000
4,68,49,68,124,1000000
5,68,8,68,124,1000000
5,68,6,68,124,1000000
7,70,51,70,124,1000000
7,71,9,71,124,1000000
6,71,4,71,124,1000000
3,67,50,67,124,1000000
4,68,6,68,124,1000000
4,68,1,68,124,1000000
